MemTotal:       17437300 kB
MemFree:         3217024 kB
MemAvailable:   10191644 kB
Buffers:            5224 kB
Cached:          5982888 kB
SwapCached:         3840 kB
Active:          3503860 kB
Inactive:        6468708 kB
Active(anon):     676944 kB
Inactive(anon):  3556460 kB
Active(file):    2826916 kB
Inactive(file):  2912248 kB
Unevictable:      210480 kB
Mlocked:          209248 kB
SwapTotal:       6291452 kB
SwapFree:        5048828 kB
Dirty:              5084 kB
Writeback:             0 kB
AnonPages:       4191316 kB
Mapped:          2750292 kB
Shmem:             55116 kB
KReclaimable:    1557584 kB
Slab:            1416480 kB
SReclaimable:     979220 kB
SUnreclaim:       437260 kB
KernelStack:      103968 kB
ShadowCallStack:   26052 kB
PageTables:       194460 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    15010100 kB
Committed_AS:   417411380 kB
VmallocTotal:   263061440 kB
VmallocUsed:      268864 kB
VmallocChunk:          0 kB
Percpu:            11200 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         532480 kB
CmaFree:          219000 kB
