major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0      40892 loop0
   7        8      37268 loop1
   7       16      53220 loop2
   7       24        828 loop3
   7       32       8912 loop4
   7       40      36120 loop5
   7       48        268 loop6
   7       56      11104 loop7
   7       64      30124 loop8
   7       72       1676 loop9
   7       80       8912 loop10
   7       88     111960 loop11
   7       96        268 loop12
   7      104        808 loop13
   7      112       7824 loop14
   7      120      13972 loop15
   8        0  485310464 sda
   8        1          8 sda1
   8        2      32768 sda2
   8        3       1024 sda3
   8        4       1024 sda4
   8        5        512 sda5
   8        6        512 sda6
   8        7    9437184 sda7
   8        8         64 sda8
   8        9         64 sda9
   8       10      16384 sda10
   8       11     262144 sda11
   8       12  475558732 sda12
   8       16       8192 sdb
   8       17       3584 sdb1
   8       18        512 sdb2
   8       19         32 sdb3
   8       20         32 sdb4
   8       21        256 sdb5
   8       32       8192 sdc
   8       33       3584 sdc1
   8       34        512 sdc2
   8       35         32 sdc3
   8       36         32 sdc4
   8       37        256 sdc5
   8       48      32768 sdd
   8       49        104 sdd1
   8       50        128 sdd2
   8       51       1024 sdd3
   8       64    6291456 sde
   8       65       5120 sde1
   8       66        512 sde2
   8       67        512 sde3
   8       68       4096 sde4
   8       69       8192 sde5
   8       70     307200 sde6
   8       71       4096 sde7
   8       72       4096 sde8
   8       73      32768 sde9
   8       74       1024 sde10
   8       75      65536 sde11
   8       76        512 sde12
   8       77      98304 sde13
   8       78        128 sde14
   8       79         80 sde15
 259        0         64 sde16
 259        1      24576 sde17
 259        2       2048 sde18
 259        3       2048 sde19
 259        4        128 sde20
 259        5     268436 sde21
 259        6       1024 sde22
 259        7        128 sde23
 259        8      98304 sde24
 259        9      30720 sde25
 259       10        256 sde26
 259       11     102400 sde27
 259       12       2048 sde28
 259       13       5120 sde29
 259       14        512 sde30
 259       15        512 sde31
 259       16       4096 sde32
 259       17       8192 sde33
 259       18     307200 sde34
 259       19       4096 sde35
 259       20       4096 sde36
 259       21      32768 sde37
 259       22       1024 sde38
 259       23      65536 sde39
 259       24        512 sde40
 259       25      98304 sde41
 259       26        128 sde42
 259       27         80 sde43
 259       28         64 sde44
 259       29      24576 sde45
 259       30       2048 sde46
 259       31       2048 sde47
 259       32        128 sde48
 259       33     268436 sde49
 259       34       1024 sde50
 259       35        128 sde51
 259       36      98304 sde52
 259       37        256 sde53
 259       38     102400 sde54
 259       39       2048 sde55
 259       40          4 sde56
 259       41       1024 sde57
 259       42      33424 sde58
 259       43          4 sde59
 259       44          4 sde60
 259       45       1024 sde61
 259       46       8192 sde62
 259       47     524288 sde63
 259       48        128 sde64
 259       49        512 sde65
 259       50         28 sde66
 259       51      33424 sde67
 259       52      20480 sde68
 259       53        128 sde69
 259       54        128 sde70
 259       55      32768 sde71
 259       56        512 sde72
 259       57         64 sde73
 259       58        128 sde74
   8       80      32768 sdf
   8       81        104 sdf1
   8       82       3072 sdf2
   8       83       3072 sdf3
   8       84       3072 sdf4
   8       85        128 sdf5
   8       96    4194304 sdg
   8      112    4194304 sdh
 254        0       1260 dm-0
 254        1    2086736 dm-1
 254        2    4527928 dm-2
 254        3     742956 dm-3
 254        4    1646836 dm-4
 254        5      85576 dm-5
 254        6       1272 dm-6
 254        7     343576 dm-7
 254        8    4456396 dm-8
 254        9     731144 dm-9
 254       10    2053732 dm-10
 254       11    1620764 dm-11
 254       12      84140 dm-12
 254       13       1156 dm-13
   7      128        264 loop16
   7      136      21400 loop17
   7      144       8084 loop18
   7      152       7356 loop19
   7      160      53220 loop20
   7      168       3380 loop21
   7      176      40892 loop22
   7      184      40772 loop23
   7      192      22724 loop24
   7      200       4368 loop25
   7      208      43500 loop26
   7      216       6528 loop27
   7      224      28312 loop28
   7      232       1168 loop29
   7      240      37268 loop30
   7      248      33088 loop31
   7      256        884 loop32
   7      264       8732 loop33
   7      272       2940 loop34
 254       15       1144 dm-15
 254       17      28080 dm-17
 254       19      22532 dm-19
 254       20        864 dm-20
 254       21       4320 dm-21
 254       22       7284 dm-22
 254       24       3340 dm-24
 254       25      21220 dm-25
 254       26       8008 dm-26
 254       27       8652 dm-27
 254       28        252 dm-28
 254       29      13848 dm-29
 254       30        788 dm-30
 254       31       7748 dm-31
 254       32        256 dm-32
 254       33       6464 dm-33
 254       34       2904 dm-34
 254       35      32816 dm-35
 254       36      43148 dm-36
 254       40      29876 dm-40
 254       41      11004 dm-41
 254       42      35828 dm-42
 253        0    6291456 zram0
 254       44  475558732 dm-44
